Timestamp,Date,Accessory,Shoes,Outerwear,Full Body,Bottom,Top,Top2,Accessory2,Accessory3,Accessory4,Note
1/1/2023 18:46:21,1/1/2023,91 Star Earrings,9 Blondo Boots - Black,84 Hollister Puffer - Green,,3 Aerie Jeans - Blue,18 Brandy Melville V-Neck - Navy,,,,,
1/2/2023 13:35:16,1/2/2023,,75 Adidas Tennis Shoe - Black,90 Levi'S Jean Jacket,,23 Aerie Leggings - Navy,15 Aerie Sports Bra - Navy,32 Rei Flannel - Orang,85 Ubc Tote Bag - Green,10 Athleta Beanie - Tan,,
1/3/2023 14:13:33,1/3/2023,,75 Adidas Tennis Shoe - Black,84 Hollister Puffer - Green,,22 Aerie Leggings - Brown,12 Aerie Crossback Sports Bra - Black,28 American Apparel Tank - Black,85 Ubc Tote Bag - Green,,,
1/6/2023 14:00:34,1/6/2023,81 No Brand Gold Hoops - Gold,9 Blondo Boots - Black,11 Zara Coat - Black,,35 Msk Maxi Skirt - Black,0 Zara Turtleneck - Black,,,,,
1/6/2023 19:11:22,1/6/2023,81 No Brand Gold Hoops - Gold,8 Paloma Wool Sandals - Black,,,7 Girlfriend Collective Skort - Black,19 Express Sweater - Green,,73 Lovcat Paris Shoulder Bag - Black,,,
1/7/2023 16:10:48,1/7/2023,,75 Adidas Tennis Shoe - Black,,,26 Aerie Leggings - Black,17 Aerie Sports Bra - Black,50 Glossier Crewneck Sweater - Gray,95 H&M Tights,94 Ray-Ban Sunglasses,92 Taylor Swift Baseball Cap,
1/8/2023 16:45:04,1/8/2023,,75 Adidas Tennis Shoe - Black,,,7 Girlfriend Collective Skort - Black,96 EVCR Workout Tank,,,92 Taylor Swift Baseball Cap,94 Ray-Ban Sunglasses,
1/8/2023 17:40:37,1/7/2023,,9 Blondo Boots - Black,90 Levi'S Jean Jacket,,3 Aerie Jeans - Blue,50 Glossier Crewneck Sweater - Gray,,,10 Athleta Beanie - Tan,,
1/9/2023 10:24:51,1/9/2023,81 No Brand Gold Hoops - Gold,75 Adidas Tennis Shoe - Black,,,23 Aerie Leggings - Navy,15 Aerie Sports Bra - Navy,28 American Apparel Tank - Black,,,,
1/9/2023 10:25:10,1/9/2023,,,,,30 Uniqlo Soft Pant - Black,68 A New Day Duster - Gray,,,,,
1/10/2023 13:16:22,1/10/2023,81 No Brand Gold Hoops - Gold,75 Adidas Tennis Shoe - Black,,,22 Aerie Leggings - Brown,14 Aerie Sports Bra - Clay,50 Glossier Crewneck Sweater - Gray,,92 Taylor Swift Baseball Cap,94 Ray-Ban Sunglasses,
1/12/2023 16:32:25,1/11/2023,81 No Brand Gold Hoops - Gold,75 Adidas Tennis Shoe - Black,,,24 Aerie Leggings - Green,16 Aerie Sports Bra - Green,50 Glossier Crewneck Sweater - Gray,,92 Taylor Swift Baseball Cap,,
1/12/2023 16:33:00,1/12/2023,81 No Brand Gold Hoops - Gold,9 Blondo Boots - Black,11 Zara Coat - Black,,3 Aerie Jeans - Blue,5 Express Body Suit - Black,,73 Lovcat Paris Shoulder Bag - Black,,,
1/13/2023 12:34:13,1/13/2023,81 No Brand Gold Hoops - Gold,75 Adidas Tennis Shoe - Black,,,25 Aerie Leggings - Red,12 Aerie Crossback Sports Bra - Black,50 Glossier Crewneck Sweater - Gray,73 Lovcat Paris Shoulder Bag - Black,,,
1/14/2023 10:04:24,1/13/2023,81 No Brand Gold Hoops - Gold,75 Adidas Tennis Shoe - Black,,,3 Aerie Jeans - Blue,28 American Apparel Tank - Black,38 Hollister Cardigan - Black,73 Lovcat Paris Shoulder Bag - Black,94 Ray-Ban Sunglasses,92 Taylor Swift Baseball Cap,
1/14/2023 10:07:23,1/14/2023,,75 Adidas Tennis Shoe - Black,,,97 Aerie Biker Shorts - Black,12 Aerie Crossback Sports Bra - Black,,,,,
1/14/2023 19:24:03,1/14/2023,81 No Brand Gold Hoops - Gold,9 Blondo Boots - Black,11 Zara Coat - Black,55 Zara Maxi Dress - Black,,19 Express Sweater - Green,,73 Lovcat Paris Shoulder Bag - Black,,,
1/15/2023 15:26:53,1/14/2023,,75 Adidas Tennis Shoe - Black,,,27 Aerie Yoga Pant - Black,14 Aerie Sports Bra - Clay,50 Glossier Crewneck Sweater - Gray,,,94 Ray-Ban Sunglasses,
1/16/2023 14:15:23,1/16/2023,,75 Adidas Tennis Shoe - Black,,,23 Aerie Leggings - Navy,15 Aerie Sports Bra - Navy,50 Glossier Crewneck Sweater - Gray,,92 Taylor Swift Baseball Cap,94 Ray-Ban Sunglasses,
1/17/2023 11:00:39,1/17/2023,,75 Adidas Tennis Shoe - Black,,,24 Aerie Leggings - Green,16 Aerie Sports Bra - Green,,,,,
1/17/2023 11:01:14,1/17/2023,81 No Brand Gold Hoops - Gold,9 Blondo Boots - Black,,,3 Aerie Jeans - Blue,2 Plisse  Tank - Black,38 Hollister Cardigan - Black,73 Lovcat Paris Shoulder Bag - Black,94 Ray-Ban Sunglasses,,
1/17/2023 11:06:27,1/13/2023,81 No Brand Gold Hoops - Gold,8 Paloma Wool Sandals - Black,11 Zara Coat - Black,,3 Aerie Jeans - Blue,2 Plisse  Tank - Black,,,,,"dinner at neighbors (3 outfits today - workout, frankies, dinner)"
