Item,Category,Sub-Category,Color,Pattern,Brand,Bought,Cost,2023,Price
Turtleneck,Top,Sweater,Black,Plain,Zara,"Secondhand, Thrifted",cheap,,
Tropical Tank,Top,Tanktop,"Black, Red, Gold",Feather,Plisse ,"Secondhand, Thrifted",cheap,,
Leopard Tank,Top,Tanktop,"Black, Tan",Leopard,Plisse ,"Secondhand, Thrifted",cheap,,15
Jeans,Bottom,Pants,Blue,Plain,Aerie,New,cheap,,33
Shirt,Top,Shirt,"Black, White",Cheetah,Free People,"Secondhand, Depop",cheap,,13
Body Suit - Black,Top,Shirt,Black,Plain,Express,New,cheap,,25
Body Suit - White,Top,Shirt,White,Plain,Express,New,cheap,,25
Skort,Bottom,Skirt,Black,Plain,Girlfriend Collective,New,pricy,,73
Sandals,Shoes,Sandal,"Black, White",Yin-Yang,Paloma Wool,New,expensive,,175
Boots,Shoes,Boots,Black,Plain,Blondo,New,expensive,,150
Beanie,Accessory,Hat,"Tan, White",Stripe,Athleta,New,cheap,,20
Coat,Outerwear,Coat,"Black, White","Fur, Houndstooth",Zara,"Secondhand, Thrifted",Cheap,,25
Crossback Sports Bra,Top,Workout ,Black,Plain,Aerie,New,Cheap,,14
Sports Bra - White,Top,Workout ,White,Plain,Aerie,New,Cheap,,13
Sports Bra - Clay,Top,Workout ,Clay,Plain,Aerie,New,Cheap,,13
Sports Bra - Navy ,Top,Workout ,Navy,Plain,Aerie,New,Cheap,,14
Sports Bra - Green,Top,Workout ,Green,Plain,Aerie,New,Cheap,,14
Sports Bra - Black,Top,Workout ,Black,Plain,Aerie,New,Cheap,,18
V-neck,Top,Sweater,Navy,Plain,Brandy Melville,"Secondhand, Thrifted",Cheap,,
Sweater,Top,Sweater,Green,Plain,Express,"Secondhand, Thrifted",Cheap,,
Pullover,Top,Sweater,Gray,Logo,UBC,"Secondhand, Thrifted",Cheap,,
Miniskirt,Bottom,Skirt,"Black, White",Houndstooth,Forever 21,"Secondhand, Thrifted",Cheap,,
Leggings - Brown,Bottom,Workout ,Brown,Plain,Aerie,New,cheap,,20
Leggings - Navy,Bottom,Workout ,Navy,Plain,Aerie,New,cheap,,35
Leggings - Green,Bottom,Workout ,Green,Plain,Aerie,New,cheap,,23
Leggings - Red,Bottom,Workout ,Red,Plain,Aerie,New,cheap,,35
Leggings - Black,Bottom,Workout ,Black,Plain,Aerie,New,cheap,,20
Yoga Pant,Bottom,Workout ,Black,Plain,Aerie,New,cheap,,30
Tank,Top,Workout ,Black,Logo,American Apparel,"Secondhand, Thrifted",cheap,,
Shirt,Top,Shirt,White,Logo,Clueless,"Secondhand, Thrifted",cheap,,
Soft Pant,Bottom,Pants,"Black, White",Stripe,Uniqlo,"Secondhand, Thrifted",cheap,,
Christmas Sweater,Top,Sweater,Navy,Christmas,Marisa Christina,"Secondhand, Thrifted",cheap,,
Flannel,Top,Shirt,"Orange, Black",Plaid,REI,"Secondhand, Gifted",cheap,,
Christmas Sweater,Top,Sweater,Black,Christmas,No Brand,"Secondhand, Thrifted",cheap,,
Asymmterical Skirt,Bottom,Skirt,Black,Plaid,Hollister,New,pricy,,40
Maxi Skirt,Bottom,Skirt,Black,Plain,MSK,"Secondhand, Thrifted",cheap,,
Jacket,Outerwear,Coat,Beige,Corduroy,SF415,"Secondhand, Thrifted",cheap,,
Christmas Vest,Top,Vest,Black,Bejeweled,SML,"Secondhand, Thrifted",cheap,,
Cardigan,Top,Sweater,Black,Plain,Hollister,"Secondhand, Thrifted",cheap,,
Cardigan,Top,Sweater,Black,Plain,Ultra Flirt,"Secondhand, Thrifted",cheap,,
Peanuts Shirt,Top,Shirt,White,Logo,Jeongyee Park,"Secondhand, Thrifted",cheap,,
Grandma Shirt,Top,Shirt,White,Logo,UC Davis,New,cheap,,
V-neck,Top,Shirt,"Cream, Gold",Plain,She + Sky,"Secondhand, Thrifted",cheap,,
Cropped Shirt,Top,Shirt,White,Plain,Oaklandia,New,cheap,,
Sleeveless Turtleneck,Top,Tanktop,Navy,Plain,Valerie Stevens,"Secondhand, Thrifted",cheap,,
Sleeveless Mockneck,Top,Tanktop,"Pink, Silver",Plain,By Design,"Secondhand, Thrifted",cheap,,
Vest,Top,Vest,White,Plain,No Brand,"Secondhand, Thrifted",cheap,,
Tank,Top,Tanktop,Yellow,Plain,Weavers Girl,"Secondhand, Thrifted",cheap,,
Square-neck Tank,Top,Tanktop,Black,Plain,American Eagle,New,cheap,,14
Cutout Tank,Top,Tanktop,Black,Plain,Vero Moda,New,cheap,,19
Crewneck Sweater,Top,Sweater,Gray,Logo,Glossier,"Secondhand, Thrifted",cheap,,
Maxi Dress,Full Body,Dress,Burgundy,Plain,Pull + Bear,New,pricy,,
Square-neck Dress,Full Body,Dress,Black,Velvet,579,"Secondhand, Thrifted",cheap,,
Floral Dress,Full Body,Dress,"Black, Pink",Floral,Lulu's,New,pricy,,80
Jumpsuit,Full Body,Jumpsuit,Black,Plain,Xhiliration,New,cheap,,
Maxi Dress,Full Body,Dress,"Black, White",Polka Dot,Zara,New,pricy,,50
