,ID,Item,Category,Sub-Category,Color,Pattern,Brand,Bought,Cost,2023,Price,Name
51,51,Maxi Dress,Full Body,Dress,Burgundy,Plain,Pull + Bear,New,pricy,No,,Pull + Bear Maxi Dress
52,52,Square-Neck Dress,Full Body,Dress,Black,Velvet,579,"Secondhand, Thrifted",cheap,No,,579 Square-Neck Dress
53,53,Floral Dress,Full Body,Dress,"Black, Pink",Floral,Lulu'S,New,pricy,No,,Lulu'S Floral Dress
54,54,Jumpsuit,Full Body,Jumpsuit,Black,Plain,Xhiliration,New,cheap,No,,Xhiliration Jumpsuit
55,55,Maxi Dress,Full Body,Dress,"Black, White",Polka Dot,Zara,New,pricy,No,,Zara Maxi Dress
56,56,Midi Dress,Full Body,Dress,Black,Plain,Wilfred,"Secondhand, Thrifted",cheap,No,,Wilfred Midi Dress
57,57,Maxi Dress,Full Body,Dress,Green,Floral,American Eagle,New,cheap,No,,American Eagle Maxi Dress
58,58,Jumpsuit,Full Body,Jumpsuit,"White, Green",Floral,American Eagle,New,cheap,No,,American Eagle Jumpsuit
59,59,Jumpsuit,Full Body,Jumpsuit,Navy,Plain,Free People,"Secondhand, Gifted",cheap,No,,Free People Jumpsuit
62,62,Dress,Full Body,Dress,Black,Glitter,Cdc,"Secondhand, Thrifted",cheap,No,,Cdc Dress
65,65,Cutout Dress,Full Body,Dress,Lavender,Glitter,Salt Tree,New,cheap,No,,Salt Tree Cutout Dress
66,66,Feather Dress,Full Body,Dress,Green,Plain,Salt Tree,New,cheap,No,,Salt Tree Feather Dress
